id,title,description,image_url,user_dni,building_id,provider_id,date,time,status,category
1,Humedad en la escalera,"Humedad en la escalera, planta baja y 1era planta. Manchas en la pared y pintura descascarada. Mal olor.",https://humedadcontrolada.com/wp-content/uploads/2017/07/Capilaridad-11.jpg,55921386C,1,1,"""2024-02-02""","""18:00""",solucionado,Escalera
2,Barandilla astillada,Barandilla por lijar y barnizar en zona común del hall principal.,https://thumbs.dreamstime.com/z/vieja-entrada-lamentable-sucia-con-las-escaleras-96600704.jpg?ct=jpeg,26033775Y,2,2,"""2024-02-10""","""11:00""",pendiente,Escalera
3,Suelo agrietado,Suelo con baldosines para cambiar por estar quebrados en el segundo piso,https://media.istockphoto.com/id/1198105278/es/foto/pasillo-con-pared-blanca-sucia-y-baldosas-de-suelo-hexagonal-roto.jpg?s=2048x2048&w=is&k=20&c=c3hiK-64TeRLYUYrT-TX3xei6xdK2IYnsD-1vdFQJNw=,84935712R,2,3,"""2024-02-15""","""19:00""",pendiente,Mantenimiento
4,Fugas de agua,Tuberías rotas o con fugas que pueden provocar daños en la propiedad y desperdicio de agua en el primer piso.,https://supervecina.com/wp-content/uploads/2023/06/Tuberias.webp,93037013N,1,4,"""2024-02-19""","""16:35""",solucionado,Agua
5,Averías eléctricas,Bombillas que no funcionan en el pasillo del descansillo del piso 2,https://static.simonelectric.com/sites/default/files/inline-images/como-iluminar-un-pasillo-con-leds-interiores.jpg,56570285Z,2,5,"""2024-02-20""","""18:00""",solucionado,Electricidad
6,Ruidos molestos,Quejas de arrendatarios sobre ruidos excesivos o molestos provenientes de otros residentes de la tercera planta,,14482182W,1,6,"""2024-02-25""","""09:45""",activo,Comunidad
7,Problemas de basura y reciclaje,Acumulación de basura y contenedores desbordados a la entrada de la finca,https://estaticos-cdn.prensaiberica.es/clip/43adbf92-5531-4717-aca3-7ffe79c3d118_16-9-discover-aspect-ratio_default_1193133.jpg,43860950L,2,7,"""2024-02-28""","""18:00""",activo,Limpieza
8,Plagas y control de plagas,"Presencia de insectos, concretamente cucarachas, en la planta baja y el primer piso.",https://eleconomico.es/media/k2/items/cache/e856b833cde910b2828b785768587319_XL.jpg?t=20190614_170948,56570285Z,2,8,"""2024-03-02""","""12:20""",pendiente,Limpieza
9,Falta de limpieza,La zona común de la entrada de la finca está muy sucia.,https://suelodebarro.es/galerias/fotos/problemas/268.jpg,92074524G,1,9,"""2024-03-03""","""11:00""",pendiente,Limpieza
10,Ascensor con mal funcionamiento,La puerta del ascensor se queda abierta si no la cierras manualmente,https://www.rescateascensores.es/Imagenes/Imagen7.jpg,12385025T,1,10,"""2024-03-10""","""13:00""",pendiente,Ascensor
11,Extintor agotado,El extintor del piso 4 está vacío.,https://cdn.wallapop.com/images/10420/2k/7f/__/c10420p154871727/i3065547042.jpg?pictureSize=W800,95515925F,2,11,"""2024-03-15""","""11:00""",activo,Insumos
